,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,aandw restaurant,chocolate cone,4.5,g,15,mg,105,g,26,g,3,g,3,g,0,g,1,g,17,g
1,aandw restaurant,root beer float,5.2,g,39,mg,104,g,70.4,g,2.1,g,3.1,g,0.3,g,0,g,56.9,g
2,aandw restaurant,diet root beer float,5.2,g,39,mg,104,g,31.1,g,2.1,g,3.1,g,0.3,g,0,g,17.6,g
3,aandw restaurant,root beer freeze,18,g,70,mg,400,g,150,g,16,g,11,g,1,g,1,g,136,g
4,aandw restaurant,chocolate shake,28.8,g,124,mg,200,g,100,g,11.2,g,18.4,g,1.6,g,2.4,g,60,g
5,aandw restaurant,strawberry shake,28.8,g,116,mg,184,g,90.4,g,11.2,g,18.4,g,1.6,g,0,g,52,g
6,aandw restaurant,diet root beer freeze,10.8,g,42,mg,240,g,55.2,g,9.6,g,6.6,g,0.6,g,0.6,g,46.8,g
7,aandw restaurant,vanilla shake,31.2,g,136,mg,208,g,96.8,g,12,g,19.2,g,1.6,g,0,g,56.8,g
8,aandw restaurant,chicken strips 5 pieces,15,g,208,mg,1833,g,8,g,67,g,4,g,0,g,2,g,0,g
9,aandw restaurant,chicken tender 1 piece,4,g,17,mg,335,g,9,g,9,g,1,g,0,g,1,g,0,g
10,aandw restaurant,vanilla soft serve cone regular,7,g,25,mg,145,g,41,g,7,g,4,g,0,g,0,g,29,g
11,aandw restaurant,mandms polar swirl,12.8,g,29,mg,172,g,51.6,g,7,g,8.1,g,0,g,1.2,g,47.6,g
12,aandw restaurant,oreo polar swirl,13.2,g,29,mg,277,g,51.7,g,7.2,g,6.1,g,0,g,1.1,g,39.1,g
13,aandw restaurant,reeses peanut butter cup polar swirl,29,g,50,mg,466,g,82,g,16,g,13,g,0,g,0,g,74,g
14,aandw restaurant,cookie dough polar swirl,24,g,50,mg,455,g,87,g,12,g,13,g,0,g,1,g,65,g
15,aandw restaurant,hot fudge sundae,11,g,30,mg,140,g,54,g,8,g,6,g,0,g,1,g,15,g
16,aandw restaurant,vanilla soft serve cone kids,5,g,20,mg,115,g,32,g,6,g,3,g,0,g,0,g,22,g
17,aandw restaurant,strawberry sundae,8,g,30,mg,140,g,47,g,7,g,4,g,0,g,0,g,12,g
18,aandw restaurant,hot caramel sundae,9,g,35,mg,250,g,57,g,8,g,4,g,0,g,0,g,13,g
19,aandw restaurant,chocolate sundae,8,g,30,mg,180,g,53,g,8,g,4,g,0,g,0,g,15,g
