,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
0,la salsa,glaceau vitaminwater xxx zero 20oz,0,g,0,mg,70,g,2,g,0,g,0,g,0,g,0,g,0,g,,,,
1,la salsa,glaceau vitaminwater xxx zero 32oz,0,g,0,mg,110,g,2,g,0,g,0,g,0,g,0,g,0,g,,,,
2,la salsa,glaceau vitaminwater xxx 20oz,0,g,0,mg,65,g,35,g,0,g,0,g,0,g,0,g,34,g,,,,
3,la salsa,glaceau vitaminwater xxx 32oz,0,g,0,mg,105,g,56,g,0,g,0,g,0,g,0,g,55,g,,,,
4,la salsa,gold peak citrus white tea 20oz,0,g,0,mg,80,g,60,g,0,g,0,g,0,g,0,g,60,g,,,,
5,la salsa,gold peak citrus white tea 32oz,0,g,0,mg,125,g,95,g,0,g,0,g,0,g,0,g,95,g,,,,
6,la salsa,gold peak diet black tea 20oz,0,g,0,mg,80,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
7,la salsa,gold peak diet black tea 32oz,0,g,0,mg,125,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
8,la salsa,gold peak diet green tea 20oz,0,g,0,mg,85,g,2,g,0,g,0,g,0,g,0,g,0,g,,,,
9,la salsa,gold peak diet green tea 32oz,0,g,0,mg,140,g,2,g,0,g,0,g,0,g,0,g,0,g,,,,
10,la salsa,gold peak peach tea 20oz,0,g,0,mg,80,g,43,g,0,g,0,g,0,g,0,g,42,g,,,,
11,la salsa,gold peak peach tea 32oz,0,g,0,mg,125,g,68,g,0,g,0,g,0,g,0,g,67,g,,,,
12,la salsa,gold peak premium unsweetened tea 20oz,0,g,0,mg,80,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
13,la salsa,gold peak premium unsweetened tea 32oz,0,g,0,mg,125,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
14,la salsa,gold peak raspberry tea 20oz,0,g,0,mg,80,g,46,g,0,g,0,g,0,g,0,g,46,g,,,,
15,la salsa,gold peak raspberry tea 32oz,0,g,0,mg,125,g,73,g,0,g,0,g,0,g,0,g,73,g,,,,
16,la salsa,gold peak southern style tea 20oz,0,g,0,mg,80,g,67,g,0,g,0,g,0,g,0,g,67,g,,,,
17,la salsa,gold peak southern style tea 32oz,0,g,0,mg,130,g,107,g,0,g,0,g,0,g,0,g,106,g,,,,
18,la salsa,gold peak sweetened black tea 20oz,0,g,0,mg,80,g,57,g,0,g,0,g,0,g,0,g,57,g,,,,
19,la salsa,gold peak sweetened black tea 32oz,0,g,0,mg,130,g,91,g,0,g,0,g,0,g,0,g,91,g,,,,
20,la salsa,gold peak sweetened green tea 20oz,0,g,0,mg,85,g,46,g,0,g,0,g,0,g,0,g,46,g,,,,
21,la salsa,gold peak sweetened green tea 32oz,0,g,0,mg,140,g,73,g,0,g,0,g,0,g,0,g,73,g,,,,
22,la salsa,grande burrito carnitas and black beans,31,g,90,mg,1910,g,79,g,39,g,16,g,0,g,7,g,5,g,,,,
23,la salsa,grande burrito carnitas and pintos beans,31,g,90,mg,1810,g,78,g,40,g,16,g,0,g,7,g,6,g,,,,
24,la salsa,grande burrito grilled chicken and black beans,30,g,85,mg,1630,g,80,g,40,g,14,g,0,g,7,g,5,g,,,,
25,la salsa,grande burrito grilled chicken and pinto beans,30,g,85,mg,1730,g,80,g,40,g,14,g,0,g,7,g,6,g,,,,
26,la salsa,grande burrito steak and black beans,38,g,85,mg,1840,g,80,g,37,g,16,g,0,g,7,g,6,g,,,,
27,la salsa,grande burrito steak and pinto beans,38,g,85,mg,1850,g,83,g,38,g,16,g,0,g,7,g,7,g,,,,
28,la salsa,green chile burrito carnitas,44,g,135,mg,2410,g,72,g,54,g,26,g,0,g,2,g,4,g,,,,
29,la salsa,green chile burrito grilled chicken,43,g,130,mg,2040,g,74,g,54,g,23,g,0,g,2,g,4,g,,,,
30,la salsa,green chile burrito steak,54,g,135,mg,2330,g,73,g,52,g,26,g,0,g,2,g,5,g,,,,
31,la salsa,guacamole,3,g,0,mg,60,g,2,g,1,g,0,g,0,g,2,g,0,g,,,,
32,la salsa,guacamole 3 oz,10,g,0,mg,180,g,7,g,2,g,1.5,g,0,g,5,g,1,g,,,,
33,la salsa,guacamole 8 oz,26,g,0,mg,470,g,18,g,4,g,3.5,g,0,g,13,g,2,g,,,,
34,la salsa,hi c flashin fruit punch 20oz,0,g,0,mg,95,g,78,g,0,g,0,g,0,g,0,g,77,g,,,,
35,la salsa,hi c flashin fruit punch 32oz,0,g,0,mg,150,g,125,g,0,g,0,g,0,g,0,g,122,g,,,,
36,la salsa,hi c orange lavaburst 20oz,0,g,0,mg,70,g,83,g,0,g,0,g,0,g,0,g,81,g,,,,
37,la salsa,hi c orange lavaburst 32oz,0,g,0,mg,115,g,133,g,0,g,0,g,0,g,0,g,129,g,,,,
38,la salsa,hi c poppin pink lemonade 20oz,0,g,0,mg,180,g,73,g,0,g,0,g,0,g,0,g,70,g,,,,
39,la salsa,hi c poppin pink lemonade 32oz,0,g,0,mg,290,g,116,g,0,g,0,g,0,g,0,g,111,g,,,,
40,la salsa,huerta salad,16,g,10,mg,230,g,7,g,3,g,2.5,g,0,g,2,g,5,g,,,,
41,la salsa,individual items chopped cilantro,0,g,0,mg,15,g,1,g,1,g,0,g,0,g,1,g,0,g,,,,
42,la salsa,kids bean and cheese burrito black beans,26,g,45,mg,1070,g,68,g,26,g,14,g,0,g,5,g,1,g,,,,
43,la salsa,kids bean and cheese burrito pinto beans,26,g,45,mg,1080,g,72,g,27,g,14,g,0,g,4,g,2,g,,,,
44,la salsa,kids bean and cheese burrito rice,25,g,45,mg,1140,g,71,g,23,g,14,g,0,g,0,g,2,g,,,,
45,la salsa,kids quesadilla black beans,19,g,45,mg,620,g,43,g,23,g,11,g,0,g,7,g,0,g,,,,
46,la salsa,kids quesadilla pinto beans,20,g,45,mg,630,g,47,g,24,g,11,g,0,g,6,g,1,g,,,,
47,la salsa,kids quesadilla rice,19,g,45,mg,700,g,45,g,19,g,11,g,0,g,2,g,1,g,,,,
48,la salsa,los cabos shrimp burrito,32,g,160,mg,1940,g,76,g,38,g,14,g,0,g,4,g,6,g,,,,
49,la salsa,make any tacos a platter black beans,2,g,5,mg,470,g,31,g,8,g,1,g,0,g,5,g,1,g,,,,
50,la salsa,make any tacos a platter pinto beans,2,g,5,mg,480,g,35,g,9,g,1,g,0,g,5,g,1,g,,,,
51,la salsa,margaritas original,0,g,0,mg,15,g,104,g,0,g,0,g,0,g,0,g,94,g,,,,
52,la salsa,margaritas original blended,0,g,0,mg,10,g,75,g,0,g,0,g,0,g,0,g,68,g,,,,
53,la salsa,margaritas strawberry blended,0,g,0,mg,15,g,85,g,0,g,0,g,0,g,2,g,73,g,,,,
54,la salsa,mello yello 20oz,0,g,0,mg,85,g,78,g,0,g,0,g,0,g,0,g,78,g,,,,
55,la salsa,mello yello 32oz,0,g,0,mg,135,g,125,g,0,g,0,g,0,g,0,g,125,g,,,,
56,la salsa,mexico city tacos carnitas,9,g,45,mg,380,g,20,g,17,g,4,g,0,g,2,g,0,g,,,,
57,la salsa,mexico city tacos chicken,8,g,40,mg,190,g,21,g,17,g,2.5,g,0,g,2,g,0,g,,,,
58,la salsa,mexico city tacos fish,11,g,40,mg,150,g,20,g,14,g,3.5,g,0,g,2,g,0,g,,,,
59,la salsa,mexico city tacos shrimp,7,g,90,mg,260,g,21,g,16,g,2.5,g,0,g,2,g,0,g,,,,
60,la salsa,mexico city tacos steak,14,g,40,mg,340,g,20,g,16,g,4,g,0,g,2,g,1,g,,,,
61,la salsa,minute maid lemonade 20oz,0,g,0,mg,180,g,73,g,0,g,0,g,0,g,0,g,70,g,,,,
62,la salsa,minute maid lemonade 32oz,0,g,0,mg,290,g,117,g,0,g,0,g,0,g,0,g,111,g,,,,
63,la salsa,minute maid light lemonade 20oz,0,g,0,mg,75,g,4,g,0,g,0,g,0,g,0,g,0,g,,,,
64,la salsa,minute maid light lemonade 32oz,0,g,0,mg,115,g,6,g,0,g,0,g,0,g,0,g,0,g,,,,
65,la salsa,minute maid light pomegranate lemonade 20oz,0,g,0,mg,110,g,3,g,0,g,0,g,0,g,0,g,0,g,,,,
66,la salsa,minute maid light pomegranate lemonade 32oz,0,g,0,mg,180,g,4,g,0,g,0,g,0,g,0,g,0,g,,,,
67,la salsa,minute maid limeade 20oz,0,g,0,mg,90,g,85,g,0,g,0,g,0,g,0,g,84,g,,,,
68,la salsa,minute maid limeade 32oz,0,g,0,mg,140,g,135,g,0,g,0,g,0,g,0,g,135,g,,,,
69,la salsa,nachos black beans,52,g,120,mg,1030,g,93,g,41,g,25,g,0,g,12,g,7,g,,,,
70,la salsa,nachos carnitas and pinto beans,56,g,165,mg,1650,g,101,g,59,g,27,g,0,g,13,g,7,g,,,,
71,la salsa,nachos carnitas black beans,56,g,165,mg,1590,g,93,g,57,g,27,g,0,g,12,g,7,g,,,,
72,la salsa,nachos chicken and pinto beans,54,g,160,mg,1320,g,98,g,58,g,25,g,0,g,12,g,7,g,,,,
73,la salsa,nachos chicken black beans,54,g,160,mg,1310,g,95,g,57,g,25,g,0,g,12,g,7,g,,,,
74,la salsa,nachos pinto beans,52,g,120,mg,1100,g,101,g,43,g,25,g,0,g,13,g,7,g,,,,
75,la salsa,nachos steak and pinto beans,63,g,165,mg,1540,g,98,g,56,g,27,g,0,g,12,g,8,g,,,,
76,la salsa,nachos steak black beans,63,g,165,mg,1530,g,94,g,55,g,27,g,0,g,12,g,8,g,,,,
77,la salsa,no rice no beans burrito carnitas,33,g,90,mg,2130,g,76,g,39,g,17,g,0,g,5,g,12,g,,,,
78,la salsa,no rice no beans burrito grilled chicken,32,g,85,mg,1850,g,77,g,40,g,15,g,0,g,5,g,12,g,,,,
79,la salsa,no rice no beans burrito steak,40,g,85,mg,2060,g,77,g,38,g,17,g,0,g,5,g,13,g,,,,
80,la salsa,orange juice,0,g,0,mg,50,g,48,g,0,g,0,g,0,g,0,g,47,g,,,,
81,la salsa,original gourmet burrito carnitas,37,g,70,mg,1700,g,56,g,33,g,14,g,0,g,2,g,3,g,,,,
82,la salsa,original gourmet burrito grilled chicken,36,g,65,mg,1420,g,58,g,33,g,12,g,0,g,2,g,3,g,,,,
83,la salsa,original gourmet burrito steak,44,g,70,mg,1630,g,57,g,31,g,14,g,0,g,2,g,4,g,,,,
84,la salsa,overstuffed burrito carnitas,35,g,130,mg,2200,g,56,g,53,g,19,g,0,g,2,g,3,g,,,,
85,la salsa,overstuffed burrito grilled chicken,32,g,120,mg,1650,g,59,g,53,g,15,g,0,g,2,g,3,g,,,,
86,la salsa,overstuffed burrito steak,49,g,125,mg,2080,g,58,g,49,g,20,g,0,g,2,g,5,g,,,,
87,la salsa,pibb xtra 20oz,0,g,0,mg,100,g,71,g,0,g,0,g,0,g,0,g,71,g,,,,
88,la salsa,pibb xtra 32oz,0,g,0,mg,160,g,114,g,0,g,0,g,0,g,0,g,114,g,,,,
89,la salsa,pinto beans 30 oz,11,g,30,mg,1570,g,137,g,53,g,6,g,0,g,34,g,7,g,,,,
90,la salsa,pinto beans 6 oz,2,g,5,mg,310,g,27,g,11,g,1,g,0,g,7,g,1,g,,,,
91,la salsa,platters carnitas and avocado enchilada and black beans,21,g,135,mg,1410,g,53,g,49,g,21,g,0,g,10,g,3,g,,,,
92,la salsa,platters carnitas and avocado enchilada pinto beans,46,g,135,mg,1420,g,57,g,50,g,21,g,0,g,10,g,4,g,,,,
93,la salsa,platters chicken and avocado enchilada and black beans,44,g,130,mg,1140,g,55,g,49,g,19,g,0,g,10,g,3,g,,,,
94,la salsa,platters chicken and avocado enchilada pinto beans,44,g,130,mg,1150,g,58,g,50,g,19,g,0,g,10,g,4,g,,,,
95,la salsa,platters enchilada carnitas and black beans,54,g,190,mg,1670,g,50,g,64,g,29,g,0,g,7,g,3,g,,,,
96,la salsa,platters enchilada carnitas pinto beans,54,g,190,mg,1740,g,58,g,66,g,28,g,0,g,8,g,4,g,,,,
97,la salsa,platters enchilada cheese pinto beans,49,g,130,mg,990,g,58,g,45,g,26,g,0,g,8,g,4,g,,,,
98,la salsa,platters enchilada chicken and black beans,52,g,185,mg,1300,g,52,g,65,g,26,g,0,g,7,g,3,g,,,,
99,la salsa,platters enchilada chicken pinto beans,52,g,185,mg,1360,g,60,g,67,g,26,g,0,g,8,g,4,g,,,,
100,la salsa,platters enchilada steak and black beans,63,g,185,mg,1590,g,51,g,62,g,29,g,0,g,7,g,4,g,,,,
101,la salsa,platters enchilada steak pinto beans,63,g,185,mg,1650,g,59,g,64,g,29,g,0,g,8,g,5,g,,,,
102,la salsa,platters enchilada cheese and black beans,49,g,130,mg,930,g,50,g,43,g,26,g,0,g,7,g,3,g,,,,
103,la salsa,platters steak and avocado enchilada black beans,53,g,130,mg,1350,g,54,g,47,g,21,g,0,g,10,g,4,g,,,,
104,la salsa,platters steak and avocado enchilada pinto beans,53,g,130,mg,1410,g,62,g,49,g,21,g,0,g,11,g,5,g,,,,
105,la salsa,platters taquitos and quesadilla carnitas and black beans,76,g,240,mg,3050,g,125,g,89,g,39,g,0,g,12,g,7,g,,,,
106,la salsa,platters taquitos and quesadilla carnitas and pinto beans,77,g,240,mg,3110,g,133,g,92,g,39,g,0,g,13,g,8,g,,,,
107,la salsa,platters taquitos and quesadilla cheese and black beans,72,g,190,mg,2490,g,125,g,73,g,37,g,0,g,12,g,7,g,,,,
108,la salsa,platters taquitos and quesadilla cheese and pinto beans,72,g,190,mg,2500,g,129,g,74,g,37,g,0,g,12,g,8,g,,,,
109,la salsa,platters taquitos and quesadilla steak and black beans,83,g,235,mg,2980,g,126,g,88,g,39,g,0,g,12,g,8,g,,,,
110,la salsa,platters taquitos and quesadilla steak and pinto beans,84,g,235,mg,3050,g,134,g,90,g,39,g,0,g,13,g,9,g,,,,
111,la salsa,platters taquitos and quesadillla chicken and black beans,75,g,235,mg,2770,g,127,g,90,g,36,g,37,g,12,g,7,g,,,,
112,la salsa,platters taquitos and quesadillla chicken and pinto beans,75,g,235,mg,2830,g,135,g,92,g,37,g,0,g,13,g,8,g,,,,
113,la salsa,platters three pepper fajita carnitas and black beans,31,g,140,mg,1640,g,78,g,55,g,14,g,0,g,12,g,6,g,,,,
114,la salsa,platters three pepper fajita chicken and black beans,28,g,135,mg,1080,g,81,g,56,g,10,g,0,g,12,g,6,g,,,,
115,la salsa,platters three pepper fajita corn carnitas and pinto beans,31,g,140,mg,1660,g,83,g,56,g,14,g,0,g,12,g,7,g,,,,
116,la salsa,platters three pepper fajita corn chicken and pinto beans,28,g,135,mg,1100,g,86,g,57,g,10,g,0,g,12,g,7,g,,,,
117,la salsa,platters three pepper fajita corn steak and pinto beans,45,g,135,mg,1530,g,84,g,53,g,14,g,0,g,12,g,8,g,,,,
118,la salsa,platters three pepper fajita flour carnitas and black beans,29,g,140,mg,1850,g,55,g,53,g,15,g,0,g,10,g,6,g,,,,
119,la salsa,platters three pepper fajita flour carnitas and pinto beans,30,g,140,mg,1860,g,60,g,54,g,15,g,0,g,10,g,7,g,,,,
120,la salsa,platters three pepper fajita flour chicken and pinto beans,27,g,135,mg,1300,g,63,g,55,g,11,g,0,g,10,g,7,g,,,,
121,la salsa,platters three pepper fajita flour chickenand black beans,27,g,135,mg,1290,g,58,g,54,g,11,g,0,g,10,g,6,g,,,,
122,la salsa,platters three pepper fajita flour steak and black beans,44,g,135,mg,1720,g,57,g,50,g,15,g,0,g,10,g,8,g,,,,
123,la salsa,platters three pepper fajita flour steak and pinto beans,44,g,135,mg,1730,g,61,g,51,g,15,g,0,g,10,g,8,g,,,,
124,la salsa,platters three pepper fajita steak and black beans,45,g,135,mg,1540,g,80,g,52,g,14,g,0,g,12,g,8,g,,,,
125,la salsa,poblano crema,1.5,g,5,mg,80,g,1,g,1,g,1,g,0,g,0,g,1,g,,,,
126,la salsa,powerade fruit punch 20oz,0,g,0,mg,210,g,43,g,0,g,0,g,0,g,0,g,41,g,,,,
127,la salsa,powerade fruit punch 32oz,0,g,0,mg,340,g,69,g,0,g,0,g,0,g,0,g,65,g,,,,
128,la salsa,powerade lemon lime 20oz,0,g,0,mg,210,g,41,g,0,g,0,g,0,g,0,g,39,g,,,,
129,la salsa,powerade lemon lime 32oz,0,g,0,mg,340,g,65,g,0,g,0,g,0,g,0,g,63,g,,,,
130,la salsa,powerade mountain blast 20oz,0,g,0,mg,200,g,41,g,0,g,0,g,0,g,0,g,41,g,,,,
131,la salsa,powerade mountain blast 32oz,0,g,0,mg,320,g,65,g,0,g,0,g,0,g,0,g,65,g,,,,
132,la salsa,ranchero sauce,0,g,0,mg,270,g,3,g,1,g,0,g,0,g,1,g,1,g,,,,
133,la salsa,ranchero style burrito add,23,g,55,mg,1100,g,30,g,15,g,12,g,0,g,4,g,5,g,,,,
134,la salsa,red flash 20oz,0,g,0,mg,120,g,77,g,0,g,0,g,0,g,0,g,77,g,,,,
135,la salsa,red flash 32oz,0,g,0,mg,190,g,122,g,0,g,0,g,0,g,0,g,122,g,,,,
136,la salsa,rice 1 oz,0,g,0,mg,80,g,5,g,0,g,0,g,0,g,0,g,0,g,,,,
137,la salsa,rice 20 oz,1,g,0,mg,1570,g,95,g,10,g,0,g,0,g,3,g,3,g,,,,
138,la salsa,rice 3 5 oz,0,g,0,mg,270,g,17,g,2,g,0,g,0,g,0,g,1,g,,,,
139,la salsa,salsa avocado mild,1,g,0,mg,160,g,1,g,0,g,0,g,0,g,0,g,0,g,,,,
140,la salsa,salsa buena medium,0,g,0,mg,140,g,1,g,0,g,0,g,0,g,0,g,1,g,,,,
141,la salsa,salsa habaero hot,0,g,0,mg,460,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
142,la salsa,salsa mango mild,0,g,0,mg,15,g,4,g,0,g,0,g,0,g,0,g,3,g,,,,
143,la salsa,salsa mexicana medium,0,g,0,mg,70,g,1,g,0,g,0,g,0,g,0,g,1,g,,,,
144,la salsa,salsa roasted tomato medium,0,g,0,mg,170,g,1,g,0,g,0,g,0,g,0,g,0,g,,,,
145,la salsa,salsa roja,0,g,0,mg,135,g,2,g,0,g,0,g,0,g,0,g,1,g,,,,
146,la salsa,salsa verde medium,0,g,0,mg,55,g,2,g,0,g,0,g,0,g,0,g,1,g,,,,
147,la salsa,seagrams ginger ale reduced calorie 20oz,0,g,0,mg,80,g,46,g,0,g,0,g,0,g,0,g,46,g,,,,
148,la salsa,seagrams ginger ale reduced calorie 32oz,0,g,0,mg,130,g,73,g,0,g,0,g,0,g,0,g,73,g,,,,
149,la salsa,seagrams ginger ale 20oz,0,g,0,mg,80,g,66,g,0,g,0,g,0,g,0,g,66,g,,,,
150,la salsa,seagrams ginger ale 32oz,0,g,0,mg,130,g,105,g,0,g,0,g,0,g,0,g,105,g,,,,
151,la salsa,seagrams tonic water 20oz,0,g,0,mg,85,g,60,g,0,g,0,g,0,g,0,g,60,g,,,,
152,la salsa,seagrams tonic water 32oz,0,g,0,mg,135,g,96,g,0,g,0,g,0,g,0,g,96,g,,,,
153,la salsa,shrimp 3 oz,1.5,g,115,mg,380,g,1,g,16,g,0,g,0,g,0,g,0,g,,,,
154,la salsa,sonora salsa,0.5,g,0,mg,340,g,2,g,0,g,0,g,0,g,0,g,1,g,,,,
155,la salsa,sour cream,5,g,20,mg,15,g,1,g,1,g,3.5,g,0,g,0,g,1,g,,,,
156,la salsa,spicy carrots,0,g,0,mg,140,g,5,g,0,g,0,g,0,g,0,g,1,g,,,,
157,la salsa,sprite high yield 20oz,0,g,0,mg,115,g,66,g,0,g,0,g,0,g,0,g,66,g,,,,
158,la salsa,sprite high yield 32oz,0,g,0,mg,180,g,105,g,0,g,0,g,0,g,0,g,105,g,,,,
159,la salsa,sprite zero 20oz,0,g,0,mg,75,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
160,la salsa,sprite zero 32oz,0,g,0,mg,120,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
161,la salsa,sprite 20oz,0,g,0,mg,120,g,71,g,0,g,0,g,0,g,0,g,71,g,,,,
162,la salsa,sprite 32oz,0,g,0,mg,190,g,114,g,0,g,0,g,0,g,0,g,114,g,,,,
163,la salsa,steak 3 oz,11,g,45,mg,490,g,1,g,14,g,2,g,0,g,0,g,1,g,,,,
164,la salsa,stufed fajita quesadilla chicken,48,g,135,mg,1480,g,60,g,45,g,22,g,0,g,6,g,4,g,,,,
165,la salsa,stuffed fajita quesadilla carnitas,49,g,140,mg,1760,g,59,g,45,g,24,g,0,g,6,g,4,g,,,,
166,la salsa,stuffed fajita quesadilla cheese,45,g,90,mg,1200,g,59,g,28,g,22,g,0,g,6,g,4,g,,,,
167,la salsa,stuffed fajita quesadilla steak,57,g,135,mg,1700,g,60,g,43,g,24,g,0,g,6,g,5,g,,,,
168,la salsa,taco salad black beans,27,g,45,mg,1480,g,88,g,25,g,13,g,0,g,10,g,7,g,,,,
169,la salsa,taco salad carnitas and pinto beans,31,g,90,mg,2210,g,105,g,46,g,15,g,0,g,13,g,8,g,,,,
170,la salsa,taco salad carnitas black beans,31,g,90,mg,2040,g,88,g,41,g,15,g,0,g,10,g,7,g,,,,
171,la salsa,taco salad grilled chicken and pinto beans,30,g,85,mg,1930,g,106,g,47,g,13,g,0,g,13,g,8,g,,,,
172,la salsa,taco salad grilled chicken black beans,29,g,85,mg,1760,g,89,g,41,g,13,g,0,g,10,g,7,g,,,,
173,la salsa,taco salad pinto beans,27,g,45,mg,1650,g,105,g,30,g,13,g,0,g,13,g,8,g,,,,
174,la salsa,taco salad steak and pinto beans,38,g,85,mg,2140,g,106,g,44,g,16,g,0,g,13,g,9,g,,,,
175,la salsa,taco salad steak black beans,38,g,85,mg,1980,g,89,g,39,g,16,g,0,g,10,g,7,g,,,,
176,la salsa,tacos la salsa carnitas,10,g,45,mg,450,g,21,g,17,g,4,g,0,g,3,g,1,g,,,,
177,la salsa,tacos la salsa chicken,10,g,40,mg,260,g,22,g,18,g,3,g,0,g,3,g,1,g,,,,
178,la salsa,tacos la salsa shrimp,9,g,90,mg,330,g,22,g,17,g,3,g,0,g,3,g,1,g,,,,
179,la salsa,tacos la salsa steak,15,g,40,mg,400,g,22,g,16,g,4,g,0,g,3,g,1,g,,,,
180,la salsa,vanilla coke 20oz,0,g,0,mg,70,g,77,g,0,g,0,g,0,g,0,g,77,g,,,,
181,la salsa,vanilla coke 32oz,0,g,0,mg,115,g,122,g,0,g,0,g,0,g,0,g,122,g,,,,
182,la salsa,veggie 3 oz,0,g,0,mg,0,g,7,g,1,g,0,g,0,g,2,g,3,g,,,,
183,la salsa,veracruz burrito grilled chicken,22,g,85,mg,1210,g,34,g,30,g,13,g,0,g,4,g,4,g,,,,
184,la salsa,veracruz burrito mahi mahi,29,g,95,mg,1210,g,34,g,30,g,15,g,0,g,5,g,4,g,,,,
185,la salsa,veracruz burrito shrimp,21,g,160,mg,1310,g,34,g,30,g,13,g,0,g,4,g,4,g,,,,
186,la salsa,veracruz burrito steak,31,g,85,mg,1420,g,34,g,28,g,15,g,0,g,4,g,5,g,,,,
187,larosas pizzeria,breadsticks with provolone without dipping sauce,10,g,15,mg,547,g,33,g,12,g,4,g,0,g,1,g,0,g,,,,
188,larosas pizzeria,medium boneless wing without dipping sauce,3.5,g,5,mg,200,g,3,g,3,g,0.5,g,0,g,0,g,0,g,,,,
189,larosas pizzeria,spinach rondo without dipping sauce,32,g,90,mg,1565,g,105,g,42,g,19,g,0,g,4,g,4,g,,,,
190,larosas pizzeria,pepperoni rondo without dipping sauce,45,g,90,mg,2190,g,105,g,49,g,31,g,0,g,4,g,4,g,,,,
191,larosas pizzeria,cheesy flatbread without sauce,35,g,100,mg,1620,g,105,g,45,g,21,g,0,g,4,g,4,g,,,,
192,larosas pizzeria,fried mozzarella cheese stick with pizza sauce,35,g,50,mg,1730,g,48,g,26,g,12,g,0,g,1,g,10,g,,,,
193,larosas pizzeria,bbq boneless wing without dipping sauce,18,g,45,mg,1000,g,37,g,21,g,4,g,0,g,0,g,17,g,,,,
194,larosas pizzeria,garlic bread,7,g,0,mg,290,g,19,g,3,g,1,g,0,g,0.2,g,0.2,g,,,,
195,larosas pizzeria,fresh fried kitchen chips with sea salt,27,g,0,mg,3000,g,70,g,7,g,7,g,0,g,7,g,3,g,,,,
196,larosas pizzeria,french fries with ketchup,13,g,0,mg,1510,g,85,g,7,g,3.5,g,0,g,7,g,14,g,,,,
197,larosas pizzeria,chicken tenders with honey mustard,37,g,106,mg,1380,g,28,g,37,g,6,g,0,g,0,g,9,g,,,,
198,larosas pizzeria,hot garlic breadsticks with pizza sauce without cheese,12,g,0,mg,1610,g,134,g,21,g,2,g,0,g,6,g,10,g,,,,
199,larosas pizzeria,garlic romano boneless wing without dipping sauce,7,g,5,mg,130,g,4,g,3,g,1,g,0,g,0,g,0,g,,,,
200,larosas pizzeria,cheese rondo without dipping sauce,32,g,90,mg,1520,g,105,g,42,g,19,g,0,g,4,g,4,g,,,,
201,larosas pizzeria,four taste sampler without dipping sauce,94,g,95,mg,3580,g,145,g,54,g,24,g,0,g,8,g,18,g,,,,
202,larosas pizzeria,garlic romano wing without dipping sauce,10,g,45,mg,180,g,0,g,8,g,2,g,0,g,0,g,0,g,,,,
203,larosas pizzeria,garlic fries without dipping sauce or dressing,13,g,0,mg,950,g,74,g,7,g,3,g,0,g,7,g,0,g,,,,
204,larosas pizzeria,onion twists without dipping sauce,57,g,0,mg,900,g,90,g,10,g,10,g,0,g,10,g,10,g,,,,
205,larosas pizzeria,hot boneless wing without dipping sauce,3.5,g,5,mg,200,g,4,g,3,g,0,g,0,g,0,g,0,g,,,,
206,larosas pizzeria,garlic bbq boneless wing without dipping sauce,4.5,g,5,mg,140,g,5,g,3,g,1,g,0,g,0,g,0,g,,,,
207,larosas pizzeria,garlic hot boneless wing without dipping sauce,5,g,5,mg,170,g,4,g,3,g,1,g,0,g,0,g,0,g,,,,
208,larosas pizzeria,bbq wings without dipping sauce,28,g,230,mg,1040,g,12,g,40,g,6,g,0,g,0,g,11,g,,,,
209,larosas pizzeria,french fries without ketchup,13,g,0,mg,950,g,71,g,7,g,3,g,0,g,7,g,0,g,,,,
210,larosas pizzeria,spicy hot loaded kitchen chips without dipping sauce,19,g,37,mg,1090,g,28,g,15,g,8,g,0,g,4,g,0,g,,,,
211,larosas pizzeria,montgomery inn bbq wing without dipping sauce,5,g,45,mg,200,g,2,g,8,g,1.5,g,0,g,0,g,0,g,,,,
212,larosas pizzeria,hot or medium wing without dipping sauce,7,g,45,mg,250,g,0,g,8,g,1.5,g,0,g,0,g,0,g,,,,
213,larosas pizzeria,garlic montgomery inn bbq wing without dipping sauce,8,g,45,mg,190,g,1,g,8,g,1.5,g,0,g,0,g,0,g,,,,
214,larosas pizzeria,garlic hot wing without dipping sauce,8,g,45,mg,220,g,0,g,8,g,1.5,g,0,g,0,g,0,g,,,,
215,larosas pizzeria,garlic breads with provolone without dipping sauce,13,g,15,mg,470,g,19,g,8,g,4.5,g,0,g,0,g,0,g,,,,
216,larosas pizzeria,mayonnaise,11,g,5,mg,75,g,0,g,0,g,2,g,0,g,0,g,0,g,,,,
217,larosas pizzeria,honey,0,g,0,mg,0,g,46,g,0,g,0,g,0,g,0,g,43,g,,,,
